Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock
10000046,"HOSE, FUEL DRAIN-AL485G1",,346.00,32,,235.28,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,40091100,
10000093,AVMENG-ALTPOLYB10TO30KVAP3C,,887.00,32,,603.16,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,40169390,
10000182,"U-CLAMP, BANCO RADIATOR-15KVA",,69.00,32,,46.92,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,73181500,
10000201,AVM ENG POLYB 100 TO 125 KVA PGS-1C,,"1,460.00",32,,992.8,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,84099941,
10000223,AVM-RADIATOR-15KVA-CORIRUBBER,,71.00,32,,48.28,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,40169390,
10000251,ENGINE RADIATOR AVM WASHER 10M,,26.00,32,,17.68,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
10000713,ENGINE AL485 RADIATOR HOSE STA,,76.00,32,,51.68,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,73269099,
10000787,FAN 45.72CM DIAMETER ( 4102G 30KVA ENGIN,,"3,060.00",32,,2080.8,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,84099941,
10000813,RADIATOR CORE ( 4102G 30KVA ENGINE),,"11,790.00",32,,8017.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089100,
10000890,EXHAUST BELLOW AL4102,,"2,840.00",32,,1931.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,84099990,
10000951,125KVA HOSE FUEL RETURN 6DTI H,,702.00,32,,477.36,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
10000965,125 KVA MOUNTING BRACKET CONTR,,339.00,32,,230.52,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
10001003,ELBOW HOSE CAC SILICON PIPE,,373.00,32,,253.64,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,40091100,
10001013,6DTI G2 ESU ER TYPE,,"4,400.00",32,,2992,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,85030010,
10001024,SS HOSE CLIP 70MM HOSE,,93.00,32,,63.24,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,73269099,
10001025,SS HOSE CLIP 65MM HOSE,,71.00,32,,48.28,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,73182100,
10001076,125KVA  CAC IN IMP OUT 6DTI,,767.00,32,,521.56,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,40091100,
10001077,125KVA  HOSE  RAD TO  PIPE CON,,755.00,32,,513.4,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,84099941,
10001079,125KVA L BEND HOSE RAD PIPE OU,,648.00,32,,440.64,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,40091100,
10001085,125 KVA L-BKT RAD STAY SUPPORT,,126.00,32,,85.68,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
10001086,125 KVA L BKT RAD OUT ENG IN,,89.00,32,,60.52,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
10001102,25KVA HOSE RAD IN TO ENG OUT,,426.00,32,,289.68,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,40091100,
10001104,25KVA SI HOSE CAC IN TO TC OUT,,385.00,32,,261.8,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,40091100,
10001105,25KVA SI HOSE CAC OUT TO ENG I,,393.00,32,,267.24,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,40091100,
10001108,25KVA AL 485TA SIH CAC INLET T,,189.00,32,,128.52,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,40091100,
10001128,AL485TA G3 BREATHER HOSE,,207.00,32,,140.76,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,40091100,
10001155,16DTI G2 RAD STAY LH,,736.00,32,,500.48,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
10001156,6DTI G2 RAD STAY RH,,736.00,32,,500.48,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
10001167,125 KVA PIPE HOLDING BKT WITH,,92.00,32,,62.56,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,84089090,
10001261,AL485 G2 PIPE RAD OUT ENG IN,,493.00,32,,335.24,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,84099990,
10001263,AL485 G2 PIPE HOLDING BKT KIT,,115.00,32,,78.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,84099990,
